"filename", "language", "vue", "CSS", "XML", "SCSS", "Less", "TypeScript", "comment", "blank", "total"
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\ConfirmorderView.vue", "vue", 201, 0, 0, 0, 0, 0, 1, 9, 211
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\HomeView.vue", "vue", 15, 0, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\HospitalView.vue", "vue", 81, 0, 0, 0, 0, 0, 2, 7, 90
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\IndexView.vue", "vue", 159, 0, 0, 0, 0, 0, 4, 2, 165
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\LoginView.vue", "vue", 73, 0, 0, 0, 0, 0, 1, 6, 80
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\PersonalView.vue", "vue", 92, 0, 0, 0, 0, 0, 1, 5, 98
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\RegisterView.vue", "vue", 130, 0, 0, 0, 0, 0, 1, 9, 140
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\ReportView.vue", "vue", 109, 0, 0, 0, 0, 0, 1, 5, 115
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\ReportlistView.vue", "vue", 50, 0, 0, 0, 0, 0, 1, 3, 54
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\SelectdateView.vue", "vue", 123, 0, 0, 0, 0, 0, 1, 17, 141
"c:\Users\Tritium\Desktop\neusoft\MembershipHospital\web\user-web\src\views\SetmealView.vue", "vue", 108, 0, 0, 0, 0, 0, 1, 10, 119
"Total", "-", 1677, 4153, 2672, 1758, 1758, 413, 233, 514, 13178
